_MEMBER_down_common_genes,_MEMBER_down_epi_only,_MEMBER_down_mes_only,_MEMBER_down_mes_up_epi,_MEMBER_up_common_genes,_MEMBER_up_epi_only,_MEMBER_up_mes_down_epi,_MEMBER_up_mes_only,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only,GO,Description,_PATTERN_,_RANK_,GiniIndex
0,0,0,0,1,0,0,0,0,0,0,0,-7.2,0,0,0,R-HSA-9678108,SARS-CoV-1 Infection,M00001000,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2,0,GO:0046032,ADP catabolic process,M00000010,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-6.1,0,0,0,GO:0032648,regulation of interferon-beta production,M00001000,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-3.7,0,0,0,R-HSA-209560,NF-kB is activated and signals survival,M00001000,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-3.1,0,0,0,GO:0002716,negative regulation of natural killer cell mediated immunity,M00001000,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-3.8,0,0,M6778,BIOCARTA IL10 PATHWAY,M00000100,1,0
0,1,0,0,0,0,0,0,0,-3.5,0,0,0,0,0,0,GO:1901186,positive regulation of ERBB signaling pathway,M01000000,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-3.2,0,0,0,R-HSA-9703465,Signaling by FLT3 fusion proteins,M00001000,1,0
0,0,1,0,0,0,0,0,0,0,-2.9,0,0,0,0,0,GO:0046599,regulation of centriole replication,M00100000,1,0
0,1,0,0,0,0,0,0,0,-2.9,0,0,0,0,0,0,GO:0015748,organophosphate ester transport,M01000000,1,0
0,0,0,1,0,0,0,0,0,0,0,-2,0,0,0,0,GO:0062014,negative regulation of small molecule metabolic process,M00010000,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-3.8,0,0,0,GO:1901875,positive regulation of post-translational protein modification,M00001000,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-3.3,0,0,GO:0022037,metencephalon development,M00000100,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2.5,0,GO:0051085,chaperone cofactor-dependent protein refolding,M00000010,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-3.9,0,0,GO:0070672,response to interleukin-15,M00000100,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-5.7,0,0,0,M9670,BIOCARTA STRESS PATHWAY,M00001000,1,0
0,0,1,0,0,0,0,0,0,0,-2.5,0,0,0,0,0,GO:1901655,cellular response to ketone,M00100000,1,0
0,1,0,0,0,0,0,0,0,-2.1,0,0,0,0,0,0,GO:0014059,regulation of dopamine secretion,M01000000,1,0
1,0,0,0,0,0,0,0,-2.1,0,0,0,0,0,0,0,R-HSA-112399,IRS-mediated signalling,M10000000,1,0
0,0,0,1,0,0,0,0,0,0,0,-3.2,0,0,0,0,GO:2000810,regulation of bicellular tight junction assembly,M00010000,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-6.5,0,0,0,R-HSA-5602358,Diseases associated with the TLR signaling cascade,M00001000,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-2.6,0,0,0,GO:0032663,regulation of interleukin-2 production,M00001000,1,0
0,0,1,0,0,0,0,0,0,0,-3.9,0,0,0,0,0,GO:0030500,regulation of bone mineralization,M00100000,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-3,0,0,GO:0071695,anatomical structure maturation,M00000100,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-12,0,0,0,R-HSA-69202,Cyclin E associated events during G1/S transition,M00001000,1,0
0,1,0,0,0,0,0,0,0,-2.2,0,0,0,0,0,0,GO:0009112,nucleobase metabolic process,M01000000,1,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2.7,R-HSA-174048,APC/C:Cdc20 mediated degradation of Cyclin B,M00000001,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-2.9,0,0,0,GO:0010662,regulation of striated muscle cell apoptotic process,M00001000,1,0
0,1,0,0,0,0,0,0,0,-4.3,0,0,0,0,0,0,M15394,BIOCARTA AMI PATHWAY,M01000000,1,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2.8,R-HSA-167161,HIV Transcription Initiation,M00000001,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,-3,0,GO:0045017,glycerolipid biosynthetic process,M00000010,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,-3.4,0,GO:0044743,protein transmembrane import into intracellular organelle,M00000010,1,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-4.1,R-HSA-72163,mRNA Splicing - Major Pathway,M00000001,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-3,0,0,0,R-HSA-2029480,Fcgamma receptor (FCGR) dependent phagocytosis,M00001000,1,0
0,0,0,1,0,0,0,0,0,0,0,-2.5,0,0,0,0,GO:0070884,regulation of calcineurin-NFAT signaling cascade,M00010000,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,-3.5,0,WP2884,NRF2 pathway,M00000010,1,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2,R-HSA-159231,Transport of Mature mRNA Derived from an Intronless Transcript,M00000001,1,0
0,0,1,0,0,0,0,0,0,0,-3,0,0,0,0,0,R-HSA-9012852,Signaling by NOTCH3,M00100000,1,0
